eventType,eventTime,symbol,newClientOrderId,side,orderType,quantity,price,orderId,orderTime,lastTradeQuantity,totalTradeQuantity,priceLastTrade,commission,commissionAsset,tradeId,isBuyerMaker,creationTime,totalQuoteTradeQuantity,_id
executionReport,8:44:32 AM,DOGEUSD,HcKZ8RcWT0Qnt5WkUxwdhN,BUY,LIMIT,265.00000000,0.1887,112052443,8:44:32 AM,265.00000000,265.00000000,0.1887,0.00012191,BNB,13836307,true,8:41:35 AM,50.0055,0C1fbjcf1KHvCsy0
executionReport,3:29:00 PM,DOGEUSD,OFZLgUExEorM19wl0700tH,SELL,LIMIT,283.00000000,0.1766,112597418,3:29:00 PM,283.00000000,283.00000000,0.1766,0.00012132,BNB,13858981,true,3:28:58 PM,49.9778,0CcXkfC3xsH7CTu1
executionReport,10:29:41 AM,DOGEUSD,y84ryBWKRaRycLNuJbeIin,SELL,LIMIT,260.00000000,0.1921,117341816,10:29:41 AM,260.00000000,260.00000000,0.1921,0.00012777,BNB,14076768,true,10:29:33 AM,49.9460,0JC1FisQwx1SRBdb
executionReport,11:53:41 AM,DOGEUSD,WurgE1gQTUiB5EHH8iOxpL,SELL,LIMIT,239.00000000,0.2089,110857080,11:53:41 AM,239.00000000,239.00000000,0.2089,0.00011622,BNB,13794565,true,11:53:37 AM,49.9271,0JtkKyMDnk8avppp
executionReport,1:05:03 PM,DOGEUSD,WAc2bBvipnVVZUG51pHHVR,BUY,LIMIT,272.00000000,0.1837,112137243,1:05:03 PM,272.00000000,272.00000000,0.1837,0.00012069,BNB,13840267,true,1:04:29 PM,49.9664,0Nf6Vy5o1drbn6nf
executionReport,12:48:26 AM,DOGEUSD,30qfI779Gp9c5oONfp3M1k,SELL,LIMIT,262.00000000,0.1912,111473152,12:48:26 AM,262.00000000,262.00000000,0.1912,0.00012691,BNB,13820199,true,12:48:22 AM,50.0944,0PZ5QFSsgyopL71r
executionReport,8:02:58 AM,DOGEUSD,Ukx4E93IQaefx0DX7124ho,BUY,LIMIT,256.00000000,0.1948,117308326,8:02:58 AM,256.00000000,256.00000000,0.1948,0.00012506,BNB,14075381,true,8:02:33 AM,49.8688,0XBnev14ok0JzP8Q
executionReport,1:39:51 AM,DOGEUSD,eyx559z9yObTM0w78SaHmN,SELL,LIMIT,265.00000000,0.1887,111488830,1:39:51 AM,265.00000000,265.00000000,0.1887,0.00012806,BNB,13820641,true,1:39:42 AM,50.0055,0eWbFXjeLlurhjnT
executionReport,6:36:52 AM,DOGEUSD,ZMaPJGrDiY338KrReNu2y0,SELL,LIMIT,280.00000000,0.1785,112422151,6:36:52 AM,280.00000000,280.00000000,0.1785,0.00012411,BNB,13851739,true,6:36:52 AM,49.9800,0gN7qQ2rdGV2AIQP
executionReport,1:16:53 PM,DOGEUSD,YHCtHR8Wak9CyeUJxMMHTi,BUY,LIMIT,275.00000000,0.1812,112141273,1:16:53 PM,275.00000000,275.00000000,0.1812,0.00012119,BNB,13840980,true,1:10:56 PM,49.8300,0i3HRfvvpOcRR6L6
